AI_Q1,AI_Q1_ID,AI_Q2,AI_Q2_ID,AI_Q3,AI_Q3_ID,AI_Q4,AI_Q4_ID,AI_Q5,AI_Q5_ID,AI_Q6,AI_Q6_ID,HU_Q1,HU_Q1_ID,HU_Q2,HU_Q2_ID,HU_Q3,HU_Q3_ID,HU_Q4,HU_Q4_ID,HU_Q5,HU_Q5_ID,HU_Q6,HU_Q6_ID
2,,1,,2,,1,,2,,2,,1,,1,,4,,1,,1,,1,
2,,2,,2,,2,,2,,1,,2,,2,,4,,2,,2,,2,
1,,2,,1,,1,,1,,2,,2,,2,,4,,2,,2,,2,
1,-65,2,-747,2,-654,1,-36,1,-675,1,-252,1,540,1,926,1,441,1,1403,2,224,1,1215
1,-499,2,-691,2,-903,2,-1405,1,-955,1,-794,1,1433,2,139,1,571,2,1159,1,203,2,19
2,-903,1,-750,2,-665,2,-524,1,-198,2,-298,1,74,1,627,1,866,1,911,1,370,2,808
1,-928,1,-427,2,-1062,2,-257,2,-279,2,-866,1,56,1,650,1,613,1,26,2,937,2,1410
2,-1354,1,-324,1,-706,1,-757,2,-836,1,-117,2,181,1,13,1,52,1,22,1,748,1,1049
2,-133,1,-478,2,-210,1,-260,2,-808,1,-2,2,625,2,1056,1,645,2,740,2,1441,2,3
1,-121,1,-215,2,-1453,1,-377,2,-1441,2,-1256,1,1163,1,974,1,1201,2,1371,1,488,2,1169
2,-521,1,-1455,2,-487,1,-1467,1,-959,1,-988,2,1170,1,671,1,1303,1,1020,1,147,2,173
2,-209,2,-859,2,-75,1,-858,1,-446,1,-926,1,911,1,547,4,920,1,58,2,224,2,175
1,-1086,2,-1306,2,-498,1,-690,1,-1353,2,-529,1,416,1,3,1,1117,2,470,1,1497,2,916
2,-201,1,-112,1,-1017,2,-566,2,-1282,1,-1391,1,964,2,11,1,540,2,264,2,786,1,1080
1,-155,1,-1466,2,-910,1,-632,1,-782,1,-659,1,17,2,734,1,1204,2,373,2,616,1,1298
1,-255,2,-375,1,-1393,2,-1354,1,-177,1,-919,2,1151,1,231,1,950,1,1180,1,379,2,811
2,-618,2,-260,1,-89,1,-519,1,-926,1,-437,1,774,1,1141,1,380,1,856,1,46,1,69
2,-1247,2,-1161,1,-668,1,-23,2,-401,2,-1477,1,969,2,123,1,935,1,931,2,663,2,1105
2,-155,2,-939,2,-251,2,-828,2,-1269,1,-96,1,454,1,805,1,974,2,359,2,1089,2,858
1,-488,2,-1295,1,-708,1,-100,2,-1072,2,-796,1,1275,1,451,1,1314,2,1266,2,910,2,380
1,-610,1,-1364,2,-235,1,-8,1,-728,2,-182,2,1340,2,1242,1,264,2,1360,2,791,1,1361
2,-770,1,-915,1,-1010,2,-953,1,-29,2,-200,2,731,1,266,4,1430,2,1176,2,1095,2,595
2,-610,2,-296,1,-12,2,-1171,2,-42,1,-739,1,1498,1,1250,4,591,1,408,2,648,1,699
1,-262,2,-1029,2,-870,1,-951,2,-1486,2,-582,1,1497,1,69,4,1264,2,757,2,749,2,943
1,-340,2,-649,1,-703,1,-1052,2,-902,1,-736,1,813,1,761,4,885,2,139,1,337,2,772
2,-1257,1,-375,2,-1473,1,-1447,2,-452,1,-385,1,978,1,362,4,170,2,1201,1,991,2,754
1,-1267,2,-872,1,-1334,2,-1050,1,-1235,1,-403,1,306,2,175,4,1492,1,28,1,235,1,480
2,-549,1,-1301,2,-692,1,-982,1,-1173,1,-762,1,145,2,124,1,476,1,693,2,876,1,1132
2,-532,2,-1437,1,-1458,2,-787,2,-1009,2,-90,2,798,1,119,4,612,2,59,1,950,2,184
1,-120,1,-932,2,-802,1,-1094,1,-251,1,-642,1,971,1,1152,1,476,2,1136,2,857,1,1165
2,-254,1,-381,2,-1441,2,-1037,2,-637,1,-739,1,531,1,108,4,382,1,170,2,351,2,761
2,-1258,1,-320,1,-642,2,-264,2,-806,2,-76,1,869,2,178,1,766,2,154,2,690,1,579
1,-203,1,-1379,1,-467,2,-618,1,-836,1,-1482,2,633,2,1474,1,552,2,1267,2,651,1,231
2,-1267,1,-1011,1,-1431,2,-1029,2,-930,2,-589,1,1131,1,548,1,1124,1,773,1,1425,2,3
2,-265,1,-414,1,-1453,2,-1341,2,-588,2,-801,1,439,2,508,1,952,1,233,2,1223,2,694
1,-1274,1,-1259,1,-72,2,-1115,2,-1448,1,-980,1,751,1,116,4,713,2,855,1,1447,2,959
2,-1097,2,-2,1,-254,1,-1381,1,-297,1,-195,1,698,2,952,1,1427,1,604,2,1064,1,970
2,-192,2,-498,1,-419,1,-1425,2,-1307,2,-73,2,1353,1,781,1,236,2,1033,1,29,2,7
1,-42,1,-1394,1,-857,1,-343,1,-1140,2,-1374,1,3,1,905,1,972,2,4,2,1112,1,1430
1,-117,2,-870,2,-901,2,-1049,1,-1355,2,-540,1,969,1,246,1,1475,1,522,1,153,2,152
1,-748,1,-134,1,-1194,1,-970,1,-1387,1,-613,2,1050,2,611,1,1040,2,913,1,363,1,256
1,-1082,2,-143,1,-1478,2,-362,2,-199,1,-1272,2,1333,1,664,4,410,1,125,2,239,1,1174
2,-830,1,-152,1,-278,2,-1262,1,-137,2,-297,2,462,2,228,4,631,1,1315,2,1088,2,1303
1,-823,2,-925,1,-345,2,-569,1,-1446,1,-228,2,751,1,1438,1,1359,2,221,1,129,1,1135
2,-483,1,-903,1,-1233,1,-1488,2,-963,2,-1379,2,19,1,1419,1,6,1,1413,2,1074,1,889
1,-354,2,-113,1,-1099,2,-462,1,-1278,1,-257,1,855,1,1099,4,1423,1,1235,1,506,2,991
2,-1334,2,-979,1,-557,1,-489,1,-1060,1,-884,2,298,2,529,4,707,2,1204,2,1307,2,1280
2,-12,2,-1252,1,-1250,2,-588,2,-351,1,-165,1,1450,2,192,1,837,1,539,2,804,2,433
2,-29,2,-180,2,-268,2,-665,1,-1002,2,-501,1,451,1,602,1,936,2,1224,2,887,2,693
2,-81,1,-1250,2,-1465,2,-408,1,-83,1,-200,2,1397,1,536,1,636,2,577,1,197,1,64
1,-69,2,-817,1,-329,2,-304,2,-674,2,-1095,1,1437,2,249,1,1141,2,830,1,445,1,203
2,-851,2,-384,1,-889,1,-855,1,-166,2,-1235,1,107,2,1339,1,1241,2,707,1,1214,2,717
1,-879,1,-344,2,-1190,1,-907,2,-230,2,-70,1,715,1,675,4,640,1,731,1,396,2,1103
2,-890,2,-1151,1,-1119,1,-849,1,-75,1,-736,2,650,1,152,4,78,2,928,2,286,1,715
2,-1314,2,-117,2,-1080,2,-875,2,-792,1,-49,2,323,1,727,4,351,1,2,2,235,2,1246
2,-1376,1,-1018,2,-104,2,-1367,1,-356,2,-499,1,892,2,1260,4,691,1,198,2,1303,2,1355
1,-454,1,-765,1,-990,2,-1288,2,-251,2,-1383,1,1382,1,378,4,1403,1,512,2,648,2,1050
2,-730,2,-31,1,-68,2,-80,2,-1486,1,-1413,1,225,1,1335,1,394,2,1190,2,166,2,673
1,-1479,2,-1342,1,-1012,2,-913,1,-1158,2,-763,2,118,1,1078,1,1078,1,1315,2,239,1,246
2,-525,2,-107,1,-1148,1,-1393,1,-901,2,-177,1,66,2,903,4,465,2,1319,2,680,2,1466
2,-188,2,-1037,1,-128,1,-489,1,-469,1,-794,1,337,1,962,4,995,1,615,1,995,1,220
1,-780,1,-547,2,-1148,1,-35,2,-561,2,-1201,1,1062,2,873,4,39,2,466,2,264,2,1084
1,-674,2,-23,2,-1076,2,-587,1,-879,2,-960,2,69,1,42,1,1363,2,1427,2,229,1,526
1,-829,1,-485,1,-897,1,-1203,1,-891,2,-323,1,1472,1,119,1,385,2,942,1,145,1,1032
2,-1098,2,-663,1,-1135,1,-230,1,-1370,2,-161,2,329,1,959,4,461,1,1090,2,577,1,1190
1,-393,1,-1033,1,-279,2,-438,2,-1285,1,-190,1,1097,1,202,1,233,1,127,2,1248,1,1208
1,-657,2,-1011,2,-163,2,-1391,2,-825,1,-1355,1,1188,1,691,4,80,2,791,2,1417,2,205
2,-1417,2,-652,1,-603,2,-133,1,-1298,2,-332,1,650,1,832,4,978,1,995,2,130,1,17
2,-8,1,-1349,1,-901,2,-764,1,-259,1,-527,2,154,1,407,1,43,1,124,2,640,1,673
2,-40,1,-1383,1,-1138,1,-1256,2,-603,2,-1293,2,1355,1,1062,4,104,2,506,2,363,2,1159
2,-648,1,-3,1,-1260,2,-1035,2,-584,1,-201,2,1376,2,406,4,347,2,1498,2,439,2,1305
1,-1443,1,-1167,1,-117,2,-1206,2,-884,1,-1108,2,102,1,25,1,1065,2,1440,2,1450,2,831
1,-401,2,-1041,2,-376,2,-1291,2,-80,1,-846,2,1019,1,73,1,1351,1,765,1,166,1,1241
2,-803,1,-781,1,-37,1,-399,1,-238,1,-298,1,1320,1,236,4,691,2,438,1,363,2,147
2,-943,2,-618,1,-163,1,-1335,1,-374,1,-1094,2,631,1,640,1,1371,2,944,2,795,1,977
2,-564,1,-399,2,-890,1,-774,1,-1298,1,-343,2,525,2,322,1,3,2,1256,2,448,2,1001
1,-176,2,-793,2,-788,1,-116,1,-798,1,-493,1,965,1,1333,1,771,1,83,2,341,2,819
2,-174,1,-1163,1,-151,2,-768,1,-932,1,-335,2,223,1,1471,1,1324,1,1344,2,969,1,896
2,-972,1,-1486,2,-89,1,-240,2,-1313,1,-1370,1,59,1,1253,1,943,2,81,1,914,2,892
1,-367,2,-1098,1,-662,2,-774,2,-1189,1,-1041,1,291,1,833,1,369,1,17,1,22,1,784
1,-1189,2,-337,2,-291,1,-791,2,-796,2,-895,1,641,1,387,1,125,1,584,1,1210,1,507
1,-1457,1,-1318,1,-527,2,-345,1,-1164,1,-631,2,988,1,825,1,579,2,1347,1,1166,1,380
2,-1171,2,-464,1,-1127,1,-896,1,-974,2,-1166,2,1119,1,1095,1,406,2,1386,2,1393,1,605
2,-591,2,-159,1,-347,2,-853,1,-944,1,-1082,1,303,1,311,1,791,2,30,2,76,2,995
2,-1244,2,-290,1,-88,1,-163,2,-1445,2,-991,2,1032,2,892,1,384,1,941,2,332,1,8
1,-858,2,-135,2,-546,2,-316,2,-540,2,-570,1,668,1,1471,1,698,2,1382,2,12,2,1444
2,-484,2,-1257,2,-1190,1,-435,2,-147,2,-944,2,802,1,418,4,1393,1,319,1,1246,2,88
1,-1336,2,-1264,2,-944,1,-448,2,-1010,1,-184,2,682,2,766,1,662,2,1381,2,618,2,1446
2,-47,2,-260,1,-922,2,-1440,1,-1261,1,-984,2,784,1,318,1,1159,2,803,1,111,2,514
2,-988,2,-1229,1,-1307,2,-395,1,-832,1,-94,1,973,2,699,4,476,1,663,2,1390,2,813
2,-144,1,-1039,2,-768,2,-806,2,-575,1,-198,1,866,1,1403,1,461,1,1139,2,372,2,1195
1,-1185,1,-1229,2,-615,2,-1132,2,-107,1,-497,1,1344,1,978,1,874,1,506,2,386,1,1373
1,-896,1,-1290,2,-1347,1,-544,2,-822,2,-90,2,535,2,285,1,422,2,778,1,88,2,1065
1,-1184,1,-306,1,-1005,1,-675,2,-845,2,-134,1,1474,2,1429,4,833,2,631,1,467,2,665
2,-1076,2,-363,2,-704,2,-820,1,-609,1,-198,1,835,2,204,4,1154,2,831,1,1190,2,1109
1,-1260,2,-1135,1,-192,1,-1010,2,-547,2,-1076,1,238,2,670,1,214,2,847,2,373,2,1188
2,-1478,1,-1475,2,-560,2,-1193,1,-523,2,-1320,1,59,1,1256,4,1017,2,699,1,1276,2,138
2,-1108,2,-1425,2,-761,2,-419,2,-166,1,-1395,1,269,1,1030,4,180,2,1431,1,1499,2,904
1,-152,1,-519,1,-586,1,-1202,1,-1208,1,-721,2,408,1,1257,1,1346,1,283,2,971,2,923
2,-1265,2,-992,1,-842,1,-743,1,-180,1,-663,1,328,2,1088,1,316,2,1457,1,1265,2,1055
1,-309,1,-914,1,-824,1,-348,1,-203,2,-648,1,870,2,782,4,92,2,704,2,1403,2,988
2,-882,2,-376,2,-156,2,-428,1,-817,1,-720,1,83,2,1431,4,1111,1,1335,2,686,2,344
2,-1479,2,-1438,2,-1460,2,-1061,2,-632,2,-349,1,1329,1,1500,1,993,1,639,2,635,2,567
1,-706,1,-1090,1,-1074,1,-1391,1,-681,2,-1141,1,154,2,904,1,483,2,1158,2,359,2,157
2,-428,2,-1380,2,-772,2,-361,2,-781,1,-793,1,213,2,76,4,1126,2,451,2,451,1,298
1,-648,1,-884,1,-1419,1,-644,1,-273,1,-738,1,745,1,23,1,417,1,1293,1,436,1,1362
2,-812,1,-213,2,-698,2,-613,2,-1360,1,-415,2,152,1,728,1,1043,2,1334,1,1216,1,1489
2,-1250,1,-822,1,-841,2,-852,2,-992,2,-1086,2,1454,1,1360,1,1214,2,1163,2,1423,1,327
2,-977,1,-257,2,-1339,2,-651,2,-161,1,-65,1,195,2,1041,4,995,2,579,2,868,1,657
1,-830,1,-255,1,-527,1,-278,1,-1267,2,-700,2,1386,2,217,1,592,1,1446,2,40,1,84
1,-1446,2,-1020,2,-561,1,-248,2,-1111,1,-1431,1,1472,2,1333,1,861,2,811,2,1450,2,1267
1,-737,1,-1108,2,-523,2,-889,2,-944,1,-88,2,291,1,139,4,210,2,1190,2,341,2,175
2,-1104,2,-300,2,-1268,2,-519,2,-675,2,-955,1,442,1,894,4,597,1,181,2,244,1,741
2,-858,2,-837,2,-1193,1,-693,2,-1,1,-1403,1,332,2,401,1,1113,2,445,1,644,2,577
1,-837,1,-272,2,-830,2,-1110,2,-1277,1,-1431,1,434,1,846,4,335,2,306,1,848,1,1234
1,-1044,2,-121,2,-1282,2,-1135,1,-639,1,-243,1,496,1,17,1,1437,1,591,2,614,1,129
2,-1498,1,-114,1,-330,2,-1202,1,-464,1,-1067,2,367,1,526,1,664,2,1125,2,169,1,343
1,-1012,2,-839,2,-690,2,-269,2,-1333,1,-487,2,142,1,130,1,660,1,1002,2,536,2,1423
1,-22,2,-1187,2,-140,2,-1448,2,-1480,1,-1113,1,477,2,1027,1,1160,1,893,2,1151,1,840
1,-749,1,-1293,2,-152,2,-1337,2,-900,1,-1098,2,641,1,1021,1,507,1,267,2,1500,2,1403
1,-1380,1,-112,2,-255,1,-685,1,-184,1,-870,1,1454,1,892,1,781,2,299,2,1046,2,215
2,-355,2,-1128,2,-1011,1,-1471,2,-486,1,-654,1,1073,1,1413,4,1138,2,418,2,43,2,1229
2,-137,2,-428,2,-540,1,-48,2,-479,1,-949,1,1454,2,447,1,1080,2,200,2,892,2,1230
2,-1125,2,-1318,2,-843,2,-569,1,-1455,1,-1294,2,413,1,691,4,364,1,919,2,1430,2,494
1,-1341,2,-159,2,-31,2,-1148,1,-354,2,-706,2,317,1,735,1,313,1,1352,2,1080,2,287
2,-1389,1,-644,1,-1267,1,-573,1,-1475,2,-240,2,369,2,996,1,753,1,461,1,361,2,1278
2,-875,1,-1335,1,-421,2,-105,2,-725,2,-109,2,877,1,101,1,935,1,480,1,306,2,541
2,-731,1,-827,1,-839,1,-1473,2,-392,2,-168,1,630,1,189,1,569,2,761,1,561,2,748
1,-736,1,-493,1,-990,2,-298,1,-571,2,-1310,1,486,1,203,1,493,1,909,2,393,1,898
2,-430,1,-355,2,-575,1,-429,2,-337,2,-877,1,19,1,1340,1,1097,2,524,2,519,1,388
1,-1151,2,-823,1,-1446,2,-1415,1,-552,1,-1172,1,516,1,294,1,468,2,442,1,372,2,785
2,-1364,2,-143,2,-925,1,-1230,1,-1111,2,-1249,2,1443,1,1124,1,411,1,1254,2,239,1,129
1,-381,1,-745,1,-344,1,-829,1,-534,2,-1261,2,857,1,519,1,28,2,1271,2,320,2,406
1,-694,1,-890,1,-469,1,-480,2,-48,1,-801,1,701,1,1062,4,1088,2,713,2,1008,2,245
1,-410,2,-443,2,-1256,2,-52,1,-1348,2,-1227,1,868,2,254,4,460,2,778,1,53,1,747
2,-1487,2,-1120,2,-1330,2,-1039,2,-1405,1,-1099,1,831,2,952,1,961,2,1087,1,657,1,809
2,-1437,2,-591,1,-94,1,-53,2,-115,2,-1297,1,1357,2,1004,4,451,2,1056,1,743,2,726
2,-1050,1,-797,2,-922,1,-1292,1,-582,1,-933,1,998,2,1389,4,946,1,407,2,748,1,349
2,-1423,1,-52,2,-193,1,-1259,1,-540,2,-1173,1,717,1,1104,1,1292,1,1174,1,796,2,469
2,-124,2,-475,1,-648,1,-23,1,-938,1,-177,1,1393,1,39,4,401,1,1324,1,1141,2,1076
2,-464,1,-88,2,-855,1,-944,1,-816,2,-791,1,961,1,817,1,959,1,651,2,793,2,507
1,-1144,1,-173,1,-76,2,-109,2,-1108,2,-573,2,102,1,736,1,601,2,401,1,291,1,631
2,-389,2,-600,2,-677,2,-888,1,-276,2,-634,1,1124,2,1122,1,1375,1,740,2,545,2,743
2,-767,2,-1061,2,-814,1,-651,2,-128,2,-1335,2,1028,2,329,1,758,2,1443,1,734,2,835
2,-276,1,-251,1,-867,1,-587,2,-1379,2,-1030,1,459,1,641,1,455,2,264,1,1065,2,1210
2,-229,2,-1113,1,-763,2,-134,1,-1027,1,-591,2,1165,1,1360,4,471,1,700,2,1136,1,1357
2,-1114,1,-370,1,-163,2,-788,2,-1138,1,-1025,1,32,2,1483,4,392,1,1301,2,1202,2,67
2,-622,1,-899,1,-105,1,-857,1,-1014,1,-383,1,1380,1,217,1,942,2,203,1,131,2,547
1,-969,2,-914,2,-1487,1,-781,1,-973,2,-488,1,642,2,253,4,1430,2,229,2,189,1,1397
1,-1432,2,-800,2,-818,2,-74,1,-107,2,-440,1,1341,1,539,1,816,2,39,1,59,2,876
1,-472,2,-1167,1,-448,2,-1145,1,-670,1,-559,1,53,2,6,4,482,1,1323,1,804,2,593
1,-4,1,-786,1,-1283,2,-1425,2,-484,2,-1238,1,1163,1,1278,4,1090,1,1147,2,323,2,1103
1,-98,1,-897,1,-48,1,-951,1,-1269,1,-1051,1,870,1,1491,1,1499,1,743,1,1106,1,743
1,-1494,2,-888,1,-425,2,-1294,2,-74,1,-1349,2,808,1,1089,4,1430,2,151,1,700,2,1154
1,-151,2,-937,1,-381,2,-1251,1,-1370,1,-98,1,710,2,460,1,213,1,517,2,296,1,1282
1,-595,1,-755,1,-839,1,-1353,2,-689,2,-895,1,1421,2,131,4,388,1,1008,2,843,2,466
2,-306,1,-36,1,-39,1,-1369,1,-645,2,-141,1,921,2,19,4,1364,1,249,2,484,1,778
2,-723,2,-557,1,-728,1,-1115,1,-1364,2,-624,1,497,1,779,4,476,2,1248,2,303,1,715
